old_path,new_path,category,notes
I18N_WORKFLOW_GUIDE.md,docs/guides/I18N_WORKFLOW_GUIDE.md,guides,
SECRET_KEY_NAMING_STANDARD.md,docs/guides/SECRET_KEY_NAMING_STANDARD.md,guides,
THEME_USAGE_GUIDE.md,docs/guides/THEME_USAGE_GUIDE.md,guides,
TOKEN_ENFORCEMENT_P1.md,docs/guides/TOKEN_ENFORCEMENT_P1.md,guides,
RELEASE_NOTES_v4.6.0.md,docs/releases/RELEASE_NOTES_v4.6.0.md,releases,
RELEASE_NOTES_v9.1.0.md,docs/releases/RELEASE_NOTES_v9.1.0.md,releases,
BRAND_ASSETS_COMPRESSION_REPORT.md,docs/reports/analysis/BRAND_ASSETS_COMPRESSION_REPORT.md,analysis,
CODE_DUPLICATION_ANALYSIS.md,docs/reports/analysis/CODE_DUPLICATION_ANALYSIS.md,analysis,
CODE_DUPLICATION_ANALYSIS_REPORT.md,docs/reports/analysis/CODE_DUPLICATION_ANALYSIS_REPORT.md,analysis,
COMPONENT_ANALYSIS_P0.md,docs/reports/analysis/COMPONENT_ANALYSIS_P0.md,analysis,
COMPONENT_MIGRATION_PHASE1_P1.md,docs/reports/analysis/COMPONENT_MIGRATION_PHASE1_P1.md,analysis,
COMPREHENSIVE_REVIEW_REPORT.md,docs/reports/analysis/COMPREHENSIVE_REVIEW_REPORT.md,analysis,
DATABASE_SCHEMA_ANALYSIS.md,docs/reports/analysis/DATABASE_SCHEMA_ANALYSIS.md,analysis,
DEEP_INVESTIGATION_CHECKLIST.md,docs/reports/analysis/DEEP_INVESTIGATION_CHECKLIST.md,analysis,
DOCUMENTATION_REVIEW_ANALYSIS.md,docs/reports/analysis/DOCUMENTATION_REVIEW_ANALYSIS.md,analysis,
EFFICIENCY_ANALYSIS_REPORT.md,docs/reports/analysis/EFFICIENCY_ANALYSIS_REPORT.md,analysis,
ENGINEERING_TEAM_PREPARATION_REPORT.md,docs/reports/analysis/ENGINEERING_TEAM_PREPARATION_REPORT.md,analysis,
FASTAPI_AUDIT_REPORT.md,docs/reports/analysis/FASTAPI_AUDIT_REPORT.md,analysis,
ISSUE_CONFLICT_ANALYSIS.md,docs/reports/analysis/ISSUE_CONFLICT_ANALYSIS.md,analysis,
MORNINGAI_深度解析報告_2025-11-20.md,docs/reports/analysis/MORNINGAI_深度解析報告_2025-11-20.md,analysis,Replaced with stub pointing to canonical file
MorningAI_Deep_Analysis_Report_zhTW_2025-11-20.md,docs/reports/analysis/MorningAI_Deep_Analysis_Report_zhTW_2025-11-20.md,analysis,Canonical file for zhTW deep analysis
PROJECT_DEEP_ANALYSIS.md,docs/reports/analysis/PROJECT_DEEP_ANALYSIS.md,analysis,
REDIS_TEST_FAILURE_ANALYSIS.md,docs/reports/analysis/REDIS_TEST_FAILURE_ANALYSIS.md,analysis,
CALIBRATION_REPORT_v1.md,docs/reports/calibration/CALIBRATION_REPORT_v1.md,calibration,
CALIBRATION_TRACKER.md,docs/reports/calibration/CALIBRATION_TRACKER.md,calibration,
WEEK2_CALIBRATION_REPORT.md,docs/reports/calibration/WEEK2_CALIBRATION_REPORT.md,calibration,
COVERAGE_ACHIEVEMENT_REPORT.md,docs/reports/coverage/COVERAGE_ACHIEVEMENT_REPORT.md,coverage,
COVERAGE_AND_E2E_IMPROVEMENT_REPORT.md,docs/reports/coverage/COVERAGE_AND_E2E_IMPROVEMENT_REPORT.md,coverage,
COVERAGE_IMPROVEMENT_REPORT_15_PERCENT.md,docs/reports/coverage/COVERAGE_IMPROVEMENT_REPORT_15_PERCENT.md,coverage,
COVERAGE_IMPROVEMENT_REPORT_60_PERCENT.md,docs/reports/coverage/COVERAGE_IMPROVEMENT_REPORT_60_PERCENT.md,coverage,
COVERAGE_IMPROVEMENT_STRATEGY_60PERCENT.md,docs/reports/coverage/COVERAGE_IMPROVEMENT_STRATEGY_60PERCENT.md,coverage,
COVERAGE_IMPROVEMENT_TO_56_PERCENT.md,docs/reports/coverage/COVERAGE_IMPROVEMENT_TO_56_PERCENT.md,coverage,
COVERAGE_OPTIMIZATION_REPORT_77_PERCENT.md,docs/reports/coverage/COVERAGE_OPTIMIZATION_REPORT_77_PERCENT.md,coverage,
COVERAGE_REPORT_PHASE1.md,docs/reports/coverage/COVERAGE_REPORT_PHASE1.md,coverage,
FINAL_COVERAGE_ACHIEVEMENT_REPORT_25_PERCENT.md,docs/reports/coverage/FINAL_COVERAGE_ACHIEVEMENT_REPORT_25_PERCENT.md,coverage,
PROJECT_COVERAGE_EVALUATION_REPORT.md,docs/reports/coverage/PROJECT_COVERAGE_EVALUATION_REPORT.md,coverage,
STORYBOOK_COVERAGE_P1.md,docs/reports/coverage/STORYBOOK_COVERAGE_P1.md,coverage,
TEST_COVERAGE_IMPROVEMENT_REPORT.md,docs/reports/coverage/TEST_COVERAGE_IMPROVEMENT_REPORT.md,coverage,
TEST_COVERAGE_STRENGTHENING_REPORT.md,docs/reports/coverage/TEST_COVERAGE_STRENGTHENING_REPORT.md,coverage,
MVP_INFRASTRUCTURE_SETUP_REPORT.md,docs/reports/infrastructure/MVP_INFRASTRUCTURE_SETUP_REPORT.md,infrastructure,
SENTRY_ERRORS_COMPREHENSIVE_FIX_REPORT.md,docs/reports/infrastructure/SENTRY_ERRORS_COMPREHENSIVE_FIX_REPORT.md,infrastructure,
SUPABASE_MIGRATION_REQUIRED.md,docs/reports/infrastructure/SUPABASE_MIGRATION_REQUIRED.md,infrastructure,
DEPLOYMENT_REPORT_20251019.md,docs/reports/ops/DEPLOYMENT_REPORT_20251019.md,ops,
PRODUCTION_DEPLOYMENT_GUIDE.md,docs/reports/ops/PRODUCTION_DEPLOYMENT_GUIDE.md,ops,
PRODUCTION_DEPLOYMENT_REPORT_SECURITY_FIXES.md,docs/reports/ops/PRODUCTION_DEPLOYMENT_REPORT_SECURITY_FIXES.md,ops,
PRODUCTION_READINESS_CHECKLIST.md,docs/reports/ops/PRODUCTION_READINESS_CHECKLIST.md,ops,
VERCEL_DEPLOYMENT_GUIDE.md,docs/reports/ops/VERCEL_DEPLOYMENT_GUIDE.md,ops,
PHASE6_IMPLEMENTATION_SUMMARY.md,docs/reports/phase/PHASE6_IMPLEMENTATION_SUMMARY.md,phase,
PHASE7_IMPLEMENTATION_SUMMARY.md,docs/reports/phase/PHASE7_IMPLEMENTATION_SUMMARY.md,phase,
PHASE_1C_STAGING_TEST_REPORT.md,docs/reports/phase/PHASE_1C_STAGING_TEST_REPORT.md,phase,
PHASE_1_CANARY_ACTIVATION_REPORT.md,docs/reports/phase/PHASE_1_CANARY_ACTIVATION_REPORT.md,phase,
PHASE_1_CANARY_CHECKPOINT_REPORT.md,docs/reports/phase/PHASE_1_CANARY_CHECKPOINT_REPORT.md,phase,
PHASE_1_COMPLETE_VALIDATION_REPORT.md,docs/reports/phase/PHASE_1_COMPLETE_VALIDATION_REPORT.md,phase,
PHASE_1_MONITORING_SETUP.md,docs/reports/phase/PHASE_1_MONITORING_SETUP.md,phase,
PHASE_1_MONITORING_STATUS.md,docs/reports/phase/PHASE_1_MONITORING_STATUS.md,phase,
